timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, pitch
123824, -1.6419556140899658, -1.296675682067871, -0.10220862925052643, 0.14880618453025818, -1.8561556339263916, -1.6818445920944214, 0.0, 0.0, 0.0, 0.0, 6.297921180725098, 4.651145935058594
123843, -1.6417652368545532, -1.2984216213226318, -0.07316960394382477, 0.15068775415420532, -1.8726555109024048, -1.5279330015182495, 0.0, 0.0, 0.0, 0.0, 6.413620471954346, 4.593520164489746
123863, -1.6418160200119019, -1.297838807106018, -0.10017865896224976, 0.14893655478954315, -1.8457450866699219, -1.6519618034362793, 0.0, 0.0, 0.0, 0.0, 6.426758766174316, 4.637798309326172
123882, -1.6411744356155396, -1.3058743476867676, -0.07562404870986938, 0.15427584946155548, -1.9039417505264282, -1.5181376934051514, 0.0, 0.0, 0.0, 0.0, 6.477804183959961, 4.628803730010986
123902, -1.6412365436553955, -1.3048726320266724, -0.1026104986667633, 0.1529897004365921, -1.8724421262741089, -1.641168236732483, 0.0, 0.0, 0.0, 0.0, 6.556788444519043, 4.635794162750244
123922, -1.6409239768981934, -1.3084263801574707, -0.06880118697881699, 0.15688474476337433, -1.91068696975708, -1.428219199180603, 0.0, 0.0, 0.0, 0.0, 6.606341361999512, 4.618597030639648
123943, -1.6410430669784546, -1.3068392276763916, -0.09483877569437027, 0.1542884111404419, -1.876938819885254, -1.5597046613693237, 0.0, 0.0, 0.0, 0.0, 6.7088494300842285, 4.595531463623047
123963, -1.6403518915176392, -1.31454336643219, -0.0667322501540184, 0.15964512526988983, -1.929951548576355, -1.371102213859558, 0.0, 0.0, 0.0, 0.0, 6.729717254638672, 4.630630016326904
123982, -1.641740322113037, -1.2972129583358765, -0.07907021045684814, 0.1509012132883072, -1.819600224494934, -1.4555634260177612, 0.0, 0.0, 0.0, 0.0, 6.837985515594482, 4.5801191329956055
124002, -1.6409856081008911, -1.305732250213623, -0.05463036894798279, 0.1565542072057724, -1.8799617290496826, -1.2704354524612427, 0.0, 0.0, 0.0, 0.0, 6.867785453796387, 4.597623825073242
124022, -1.6411226987838745, -1.3034683465957642, -0.07851066440343857, 0.1532961130142212, -1.830688238143921, -1.4063050746917725, 0.0, 0.0, 0.0, 0.0, 6.944719314575195, 4.601109027862549
124042, -1.6417509317398071, -1.2951114177703857, -0.10167171061038971, 0.14739270508289337, -1.7475836277008057, -1.5196985006332397, 0.0, 0.0, 0.0, 0.0, 6.986250400543213, 4.587630271911621
124063, -1.6412978172302246, -1.299761176109314, -0.07558386772871017, 0.15073689818382263, -1.7765454053878784, -1.3453407287597656, 0.0, 0.0, 0.0, 0.0, 7.061229705810547, 4.5889573097229
